ID,Number of tweets,URLs,User mentions,Output
3002946545,20,0,40,bot
549375513,20,4,24,bot
3017805851,20,6,34,bot
1857099379,20,2,25,human
4636530203,17,1,69,bot
2949998247,20,3,53,bot
82659565,20,10,26,bot
4549685356,18,1,65,bot
2853761597,18,0,39,bot
337161893,20,5,18,human
596665906,20,0,33,human
2432948813,20,8,21,human
740647957091999744,20,1,28,bot
38846888,20,5,20,human
2921357452,20,5,36,bot
971721103,20,0,20,bot
2921287407,20,7,30,bot
484162494,20,2,24,bot
978899289861754880,20,3,22,human
455749051,19,3,12,human
2396162744,20,4,31,human
2547012645,20,2,23,human
390778324,20,5,18,human
3182660278,20,1,41,bot
438646069,20,4,21,human
2153829339,20,3,30,human
3098888799,20,2,25,human
360046793,18,7,28,human
14871003,20,9,39,human
735822179783303169,20,0,25,bot
449038596,20,0,24,bot
2580731380,20,7,13,bot
4636335555,18,0,91,bot
1153738128,19,2,22,bot
506048809,14,2,13,human
2919964222,20,1,56,bot
4189019849,20,5,28,human
3315099276,20,0,23,bot
823274532035264517,20,2,26,human
4874146875,15,1,60,bot
2862202113,20,4,12,human
822202598526623744,20,13,21,human
4445949435,20,2,3,human
992839373405093888,20,6,14,bot
4030954341,20,0,19,human
1012085786043453440,18,6,19,human
148803815,20,5,18,human
477014834,20,2,15,human
785477139235741696,20,0,20,human
3072516610,20,5,26,human
2984643466,20,3,33,bot
340600489,20,0,21,human
393483438,20,5,20,bot
2455009450,20,1,22,bot
2870733197,20,0,18,human
822200874,20,2,22,human
2983016661,20,3,35,bot
989188674452639744,19,2,16,human
895869750,20,0,16,human
825397260032811012,20,4,36,bot
949059133893853186,20,1,21,bot
825028579767390208,19,2,28,bot
999977095106367488,19,1,14,human
559917335,20,2,24,bot
4549605137,20,5,36,human
771685684738482176,20,10,24,human
442144847,20,1,24,human
801152682702622720,20,3,27,human
1048754004,20,9,30,bot
2781237202,20,9,20,human
2921277910,20,3,37,bot
2982498327,19,2,48,bot
831961066313773058,18,1,52,bot
891652563795181573,17,1,23,human
70741097,20,1,29,human
2929725533,17,2,38,bot
3042097091,20,1,60,bot
2950152521,20,0,66,bot
2771208186,20,2,53,bot
974977485183037441,20,0,59,bot
831859384695287808,20,5,31,bot
808773963023286273,20,5,6,bot
1481404124,20,3,20,human
3030965421,20,0,56,bot
1216009520,20,3,30,human
271012954,20,1,21,human
233223130,20,15,30,bot
562092002,20,3,47,bot
962445055,20,4,23,bot
2951460352,19,0,99,bot
1009719238616145920,20,0,61,bot
265347584,20,1,15,human
561474634,20,6,40,bot
344159343,20,3,24,human
357063589,20,5,30,human
2949963189,20,2,47,bot
825987115662065664,20,7,64,bot
989081978,20,3,30,bot
3028624132,20,0,59,bot
2982479962,20,5,41,bot
2982464944,20,6,38,bot
262893816,20,5,66,human
2998582175,20,5,40,bot
781179765843750912,17,1,18,human
2982573165,20,6,42,bot
2365823596,20,6,24,human
2806416940,20,9,26,bot
280175586,20,8,28,human
96738439,20,5,41,human
2267806358,20,3,21,human
3337054126,20,2,17,human
825410712281501698,19,3,43,bot
3873877475,20,2,91,human
422025735,20,2,20,human
500980523,20,3,27,human
17880873,20,2,16,human
831862062833876993,20,3,26,bot
726755736236253184,19,2,23,human
1028654280,20,0,20,human
961661021017518086,20,4,36,bot
3022357312,19,5,39,bot
816242626332598272,19,5,40,bot
1226915408,19,2,67,bot
2754471474,20,2,44,bot
832998854828113920,20,2,28,bot
825979861659443201,20,7,45,bot
601660948,20,3,35,human
2950711839,20,0,62,bot
2919407973,19,4,41,bot
1086915288,20,6,31,bot
526391347,18,0,63,bot
825460743445286913,20,2,40,bot
2452764372,20,4,20,human
606575726,20,1,25,human
979754063935000576,19,2,35,human
4798069173,20,2,55,bot
796687702141845504,20,6,19,bot
825718832484474880,19,2,40,bot
784803897483358208,20,0,56,bot
2984510759,20,0,50,bot
160179878,20,2,23,human
3020402578,20,3,66,bot
242327193,20,7,24,human
431089246,20,2,27,human
2336493886,20,5,52,human
1428293736,20,4,28,human
4046597542,20,0,3,human
3245545312,20,1,85,bot
1011936924125327361,17,2,18,bot
460216069,20,2,21,human
727469564901076992,19,1,21,bot
3021446434,20,0,59,bot
4358227817,19,1,21,bot
2920280901,20,5,41,bot
1446141966,20,2,21,human
2306559009,20,20,4,human
633548507,18,0,62,bot
2732253563,20,1,17,human
205354640,20,2,17,human
2983904932,19,0,44,bot
2982567281,19,4,26,bot
3042187528,20,8,33,bot
3228649563,18,0,17,human
4782660614,20,7,17,human
438476133,20,1,23,human
363938347,20,9,38,human
2951285517,20,3,23,bot
1005103898556760064,20,3,20,human
704993843293331456,20,3,28,bot
965638639345655809,20,6,60,human
3027927352,20,4,58,bot
2984400682,20,4,32,bot
422699535,20,17,16,bot
923484261885374464,18,1,15,human
832346968101888002,18,1,67,bot
363954532,20,14,6,human
3173307514,19,1,18,human
251194177,20,0,20,bot
1056095060,20,0,20,human
1000424874194690048,20,3,27,human
1034383638,20,3,21,human
470253363,20,5,34,bot
908709155137032192,20,1,22,human
875005129103200257,20,3,20,human
