Ids	Friends	Followers	rf	Label
1.01E+18	40	16	0.2857142857	bot
474941280	112	55	0.3293413174	bot
2349112225	1044	708	0.404109589	bot
7.55E+17	2440	301	0.1098139365	human
2998480923	59	157	0.7268518519	bot
9.27E+17	154	6	0.0375	bot
2998555053	69	144	0.676056338	bot
2982782446	372	287	0.435508346	bot
448110696	501	415	0.4530567686	bot
2982546107	0	500	1	bot
9.12E+17	23	5	0.1785714286	human
7.05E+17	731	505	0.4085760518	human
700244333	1365	291	0.1757246377	human
8.26E+17	533	256	0.3244613435	bot
9.51E+17	774	386	0.3327586207	human
276497372	394	1002	0.717765043	human
2982795550	387	310	0.4447632712	bot
991332558	262	184	0.4125560538	human
2976241827	1055	169	0.1380718954	human
489519253	764	541	0.414559387	human
3092010165	429	268	0.3845050215	human
3290568658	673	266	0.2832800852	bot
2982443524	199	186	0.4831168831	bot
3224618207	787	449	0.3632686084	human
573568763	2151	2202	0.5058580289	human
8.38E+17	1	28	0.9655172414	bot
2419259186	858	815	0.4871488344	human
3122007425	474	165	0.2582159624	human
1571230602	723	523	0.4197431782	human
202206667	456	383	0.4564958284	bot
2930775934	4763	1146	0.1939414453	bot
8.13E+17	286	75	0.2077562327	human
560954476	1048	932	0.4707070707	bot
423240463	736	523	0.4154090548	bot
2385911950	696	716	0.507082153	human
9.29E+17	210	21	0.0909090909	human
7.97E+17	758	868	0.5338253383	human
9.26E+17	1088	1704	0.6103151862	human
239861947	518	281	0.351689612	human
1.01E+18	2	0	0	human
1.01E+18	79	20	0.202020202	bot
1.01E+18	118	103	0.4660633484	human
534504035	1434	1643	0.533961651	human
9.86E+17	847	221	0.206928839	human
1.01E+18	8	15	0.652173913	bot
7.26E+17	1350	554	0.2909663866	human
2989418577	190	260	0.5777777778	bot
9.73E+17	246	157	0.3895781638	human
814176367	466	357	0.4337788578	bot
1.01E+18	1153	410	0.2623160589	human
8.94E+17	5	14	0.7368421053	bot
228744087	2276	1333	0.3693543918	bot
8.83E+17	37	41	0.5256410256	human
9.50E+17	47	39	0.4534883721	bot
7.52E+17	1206	563	0.3182589033	human
8.32E+17	58	75	0.5639097744	bot
2376525880	9466	8657	0.4776802958	bot
2704478260	139	266	0.6567901235	bot
278767989	4997	436	0.0802503221	human
3138084547	556	829	0.5985559567	human
1122716048	973	302	0.2368627451	human
1337678305	2458	25966	0.9135237827	bot
761376188	1292	2059	0.6144434497	human
1198843740	268	176	0.3963963964	human
2364628874	361	123	0.2541322314	human
1714082910	168	163	0.4924471299	human
8.31E+17	255	159	0.384057971	bot
2982526985	1188	621	0.3432835821	bot
1449933242	2679	816	0.2334763948	human
1.01E+18	21	30	0.5882352941	human
7.41E+17	1014	242	0.1926751592	human
1260617916	2320	1766	0.4322075379	human
7.02E+17	1438	1188	0.4523990861	human
2367002093	4286	4583	0.5167437141	human
2976226983	205	532	0.7218453189	human
561125828	704	618	0.467473525	bot
494889421	388	102	0.2081632653	human
296318811	441	262	0.372688478	human
2905469547	601	911	0.6025132275	human
1.01E+18	24	70	0.7446808511	human
55404019	969	92845	0.9896710512	human
554630722	799	765	0.4891304348	bot
1006016766	1320	712	0.3503937008	bot
271466783	1075	2763	0.7199062011	human
7.82E+17	275	230	0.4554455446	bot
2772451794	1147	681	0.3725382932	bot
421858976	3303	1659	0.3343409915	human
9.23E+17	256	68	0.2098765432	human
9.51E+17	233	72	0.2360655738	human
8.37E+17	316	876	0.7348993289	human
9.72E+17	15	17	0.53125	bot
3825988815	311	352	0.5309200603	human
8.34E+17	115	70	0.3783783784	bot
9.49E+17	9	42	0.8235294118	bot
1183194624	505	264	0.3433029909	bot
2998556339	50	121	0.7076023392	bot
503680418	1491	1159	0.4373584906	bot
132962832	639	249	0.2804054054	human
456210073	456	292	0.3903743316	bot
1268082668	1581	858	0.3517835178	human
922839841	1530	1547	0.5027624309	bot
250624869	403	397	0.49625	human
9.71E+17	54	34	0.3863636364	human
595846370	911	586	0.3914495658	bot
2985794427	611	338	0.3561643836	bot
468385317	145	287	0.6643518519	bot
2949953224	322	121	0.2731376975	human
7.61E+17	676	743	0.5236081748	human
1.00E+18	39	10	0.2040816327	human
7.17E+17	653	466	0.4164432529	human
1.01E+18	178	179	0.5014005602	human
524420458	1150	951	0.4526415992	bot
1.01E+18	14	12	0.4615384615	bot
1.01E+18	6	17	0.7391304348	bot
548914113	475	434	0.4774477448	bot
9.64E+17	56	13	0.1884057971	bot
2996584924	410	289	0.4134477825	bot
9.93E+17	48	114	0.7037037037	human
8.25E+17	220	208	0.4859813084	bot
2996521607	0	37	1	human
2535033852	1551	9922	0.8648130393	bot
2862813495	184	59	0.2427983539	human
9.42E+17	99	0	0	bot
8.35E+17	330	210	0.3888888889	bot
2919429628	230	147	0.3899204244	bot
1.01E+18	6	26	0.8125	human
1924501530	32769	40105	0.5503334523	bot
560604863	1665	790	0.3217922607	bot
8.37E+17	50	0	0	human
3017654309	703	309	0.3053359684	bot
1.00E+18	53	27	0.3375	human
2729708935	1883	1411	0.4283545841	human
866147862	8162	14630	0.6418918919	human
549384602	88	439	0.8330170778	bot
9.88E+17	20	19	0.4871794872	bot
4839898869	219	66	0.2315789474	human
1.01E+18	68	64	0.4848484848	human
53002473	358	5180	0.9353557241	human
2413775282	3390	1915	0.3609802074	human
3031331457	3916	1468	0.2726597325	human
561480213	1000	1634	0.6203492787	human
1301400318	337	669	0.6650099404	human
549173992	436	321	0.4240422721	bot
3102059566	4	104	0.962962963	bot
197284836	1558	2346	0.6009221311	human
1050774624	1445	338734	0.9957522363	human
8.77E+17	189	412	0.6855241265	bot
1.01E+18	558	474	0.4593023256	human
9.45E+17	292	121	0.2929782082	bot
3102658995	304	42	0.1213872832	human
2363390223	661	256	0.2791712105	human
9.11E+17	101	157	0.6085271318	human
8.50E+17	2186	539	0.1977981651	human
9.24E+17	38	19	0.3333333333	bot
1069206085	659	1015	0.6063321386	human
326826176	458	212	0.3164179104	human
968459856	579	149	0.2046703297	human
2950692315	892	495	0.3568853641	bot
9.32E+17	25	44	0.6376811594	bot
437486455	474	331	0.4111801242	human
627733507	22	258	0.9214285714	bot
8.56E+17	1226	628	0.3387270766	human
3107788774	611	290	0.3218645949	bot
847497841	1292	1313	0.5040307102	human
412155718	2277	363	0.1375	human
136653194	344	176	0.3384615385	human
133460400	1799	1867	0.5092744135	human
7.54E+17	352	248	0.4133333333	bot
186977143	1182	6156	0.8389206868	human
58165167	1790	654	0.267594108	bot
2984109993	469	233	0.3319088319	bot
856884030	259	287	0.5256410256	human
299365630	3342	1388	0.2934460888	human
769392715	567	5308	0.9034893617	human
9.63E+17	416	411	0.4969770254	bot
9.90E+17	662	41	0.0583214794	bot
422924590	998	701	0.4125956445	bot
8.22E+17	404	242	0.3746130031	bot
7.58E+17	235	329	0.5833333333	human
2264615275	6369	8355	0.5674409128	human
7.85E+17	140	142	0.5035460993	bot
7.88E+17	117	165	0.585106383	bot
8.26E+17	530	270	0.3375	bot
434217283	632	1541	0.7091578463	human
415107191	725	641	0.4692532943	human
9.70E+17	16	5	0.2380952381	bot
2918732806	392	274	0.4114114114	bot
548764543	723	703	0.4929873773	bot
8.26E+17	0	316	1	bot
1.01E+18	885	596	0.40243079	human
8.17E+17	153	222	0.592	human
902535078	389	126	0.2446601942	human
2920996798	827	231	0.2183364839	bot
396024657	836	600	0.4178272981	bot
1064261450	1094	1569	0.5891851296	human
504476597	621	136	0.179656539	human
8.26E+17	536	282	0.3447432763	bot
8.27E+17	417	184	0.306156406	bot
2949925353	52	138	0.7263157895	bot
2780612193	3827	8010	0.6766917293	bot
1.01E+18	97	75	0.4360465116	human
422947897	489	568	0.5373699149	bot
1.01E+18	120	78	0.3939393939	bot
7.59E+17	1	7	0.875	bot
702878730	36	170	0.8252427184	human
8.22E+17	202	139	0.4076246334	bot
2982486513	64	147	0.6966824645	bot
4701456854	93	62	0.4	human
51703470	85	74	0.465408805	human
8.04E+17	569	242	0.2983970407	bot
2918711542	413	319	0.4357923497	bot
8.08E+17	886	5412	0.8593204192	human
8.99E+17	1159	3708	0.7618656256	human
2920497934	973	323	0.2492283951	bot
358795296	1473	7048	0.8271329656	human
9.79E+17	660	543	0.4513715711	human
1.01E+18	12	6	0.3333333333	bot
1.01E+18	0	4	1	bot
8.98E+17	121	100	0.4524886878	bot
9.79E+17	1091	60	0.0521285838	bot
9.95E+17	31	16	0.3404255319	human
2672479163	108	82	0.4315789474	human
785397318	4960	3110	0.385377943	human
518642028	139	145	0.5105633803	bot
135547288	1122	1172	0.5108979948	human
8.74E+17	4162	2511	0.3762925221	bot
2985880540	242	260	0.5179282869	bot
193317159	484	170	0.2599388379	human
9.80E+17	906	889	0.495264624	human
1.01E+18	32	49	0.6049382716	human
1.01E+18	15	18	0.5454545455	human
2767540864	564	437	0.4365634366	human
25851958	409	1385	0.7720178372	human
8.25E+17	552	284	0.3397129187	bot
8.31E+17	661	296	0.3092998955	bot
202339780	763	565	0.4254518072	bot
438798142	851	928	0.5216413716	human
1064122518	4309	3383	0.4398075923	human
8.35E+17	65	82	0.5578231293	bot
9.95E+17	121	134	0.5254901961	human
4297819397	1203	1070	0.4707435108	human
7.03E+17	1839	726	0.2830409357	human
302125749	380	607	0.6149949341	bot
184810052	1252	1985	0.6132221192	bot
165051584	2005	2815	0.5840248963	human
3035505075	758	917	0.5474626866	bot
3489637217	396	236	0.3734177215	bot
893090869	4322	4451	0.507352103	bot
9.40E+17	1891	353	0.1573083779	human
8.23E+17	134	175	0.5663430421	human
8.11E+17	249	291	0.5388888889	human
3304132186	609	375	0.381097561	bot
45394510	2485	1131	0.3127765487	human
502749635	405	393	0.492481203	human
2962604531	885	233	0.2084078712	human
2237617592	2372	8893	0.7894363071	human
8.22E+17	189	93	0.329787234	bot
2983905783	352	264	0.4285714286	bot
1.00E+18	194	201	0.5088607595	human
615539623	917	2577	0.7375500859	human
8.28E+17	98	236	0.7065868263	bot
9.23E+17	202	193	0.4886075949	human
442096443	827	181	0.1795634921	human
1886073978	438	260	0.3724928367	bot
840241477	376	1685	0.8175642892	human
3223929605	628	329	0.3437826541	human
3031628369	71	31	0.3039215686	bot
2591240449	235	318	0.575045208	bot
2918679371	439	557	0.5592369478	bot
548707617	496	581	0.539461467	bot
2919471316	883	460	0.3425167535	bot
945431358	309	2929	0.9045707227	human
7.61E+17	634	1038	0.6208133971	human
2984398203	420	293	0.4109396914	bot
276026459	1913	1848	0.4913586812	human
2181109997	777	2592	0.7693677649	human
8.24E+17	119	44	0.2699386503	bot
4548516682	546	295	0.3507728894	bot
617000584	636	335	0.3450051493	human
2617299705	413	596	0.5906838454	human
2764705943	136	184	0.575	bot
7.65E+17	68	1106	0.9420783646	bot
4149019083	223	198	0.4703087886	bot
1013753576	117	1023	0.8973684211	human
3419845179	733	318	0.3025689819	bot
9.22E+17	1	190	0.9947643979	bot
1.00E+18	626	555	0.4699407282	human
22009205	3819	2188	0.364241718	human
617171996	230	132	0.364640884	human
2982584363	50	170	0.7727272727	bot
8.26E+17	510	225	0.306122449	bot
4908982317	579	548	0.4862466726	human
2984381056	138	184	0.5714285714	bot
2350026720	4611	20457	0.8160603159	bot
2158759025	798	559	0.4119380987	bot
2983182773	234	236	0.5021276596	bot
201197015	910	919	0.5024603609	bot
3346645053	182	214	0.5404040404	bot
517747193	978	261	0.210653753	human
1.01E+18	1	10	0.9090909091	bot
32604352	112	2013	0.9472941176	bot
9.12E+17	206	198	0.4900990099	human
561948464	678	800	0.5412719892	bot
202588307	1004	753	0.4285714286	bot
162672772	2146	1054	0.329375	bot
2864751126	137	135	0.4963235294	human
2240552686	676	348	0.33984375	human
1092509449	236	282	0.5444015444	human
50265477	1447	301	0.1721967963	human
407609289	830	5694	0.8727774372	human
4490976615	1250	187	0.1301322199	human
8.31E+17	55	95	0.6333333333	bot
4580699608	200	251	0.55654102	bot
20432064	2093	13518	0.8659278714	human
1718499800	606	591	0.4937343358	human
1379007452	4120	8112	0.6631785481	human
3121352247	795	1884	0.7032474804	human
327894673	682	405	0.3725850966	bot
501989361	87	377	0.8125	bot
202361176	872	477	0.3535952557	bot
3002946545	143	106	0.4257028112	bot
549375513	1121	869	0.4366834171	bot
3017805851	129	183	0.5865384615	bot
1857099379	1276	710	0.3575025176	human
4636530203	678	372	0.3542857143	bot
2949998247	535	334	0.3843498274	bot
82659565	511	6476	0.9268641763	bot
4549685356	0	356	1	bot
2853761597	1	2706	0.9996305874	bot
337161893	1437	5173	0.782602118	human
596665906	1386	2725	0.6628557529	human
2432948813	158	562	0.7805555556	human
7.41E+17	2025	179	0.081215971	bot
38846888	770	362	0.3197879859	human
2921357452	83	163	0.662601626	bot
971721103	181	271	0.5995575221	bot
2921287407	75	148	0.66367713	bot
484162494	414	305	0.4242002782	bot
9.79E+17	491	2022	0.8046159968	human
455749051	3604	10371	0.7421109123	human
2396162744	5231	5295	0.5030400912	human
2547012645	307	95	0.236318408	human
390778324	2818	687	0.1960057061	human
3182660278	0	66	1	bot
438646069	2260	1863	0.4518554451	human
2153829339	1892	1955	0.5081881986	human
3098888799	237	128	0.3506849315	human
360046793	1162	368	0.2405228758	human
14871003	1372	2592	0.6538849647	human
7.36E+17	418	556	0.5708418891	bot
449038596	392	465	0.5425904317	bot
2580731380	209	67	0.2427536232	bot
4636335555	0	355	1	bot
1153738128	2708	557	0.1705972435	bot
506048809	462	126	0.2142857143	human
2919964222	821	454	0.3560784314	bot
4189019849	1577	994	0.3866199922	human
3315099276	186	139	0.4276923077	bot
8.23E+17	162	120	0.4255319149	human
4874146875	795	398	0.333612741	bot
2862202113	72	187	0.722007722	human
8.22E+17	0	7	1	human
4445949435	214	189	0.4689826303	human
9.93E+17	2710	1467	0.3512090017	bot
4030954341	265	268	0.5028142589	human
1.01E+18	12	1	0.0769230769	human
148803815	1449	471	0.2453125	human
477014834	13119	12131	0.4804356436	human
7.85E+17	1078	750	0.4102844639	human
3072516610	109	169	0.6079136691	human
2984643466	189	136	0.4184615385	bot
340600489	70	35	0.3333333333	human
393483438	428	1233	0.7423239013	bot
2455009450	202	91	0.3105802048	bot
2870733197	154	177	0.5347432024	human
822200874	302	308	0.5049180328	human
2983016661	148	238	0.6165803109	bot
9.89E+17	835	686	0.4510190664	human
895869750	5126	8005	0.6096260757	human
8.25E+17	265	158	0.3735224586	bot
9.49E+17	34	19	0.358490566	bot
8.25E+17	68	87	0.5612903226	bot
1.00E+18	115	62	0.3502824859	human
559917335	979	523	0.3482023968	bot
4549605137	1257	747	0.372754491	human
7.72E+17	276	529	0.6571428571	human
442144847	511	228	0.3085250338	human
8.01E+17	552	97	0.1494607088	human
1048754004	0	704	1	bot
2781237202	219	98	0.309148265	human
2921277910	94	166	0.6384615385	bot
2982498327	849	387	0.3131067961	bot
8.32E+17	489	189	0.2787610619	bot
8.92E+17	75	56	0.427480916	human
70741097	648	599	0.4803528468	human
2929725533	840	461	0.3543428132	bot
3042097091	1062	493	0.3170418006	bot
2950152521	979	528	0.3503649635	bot
2771208186	66	110	0.625	bot
9.75E+17	157	39	0.1989795918	bot
8.32E+17	198	164	0.453038674	bot
8.09E+17	69	71	0.5071428571	bot
1481404124	808	688	0.4598930481	human
3030965421	603	303	0.3344370861	bot
1216009520	1739	2088	0.5455970734	human
271012954	224	93	0.2933753943	human
233223130	1806	1239	0.4068965517	bot
562092002	459	634	0.5800548948	bot
962445055	67	88	0.5677419355	bot
2951460352	0	261	1	bot
1.01E+18	104	24	0.1875	bot
265347584	438	476	0.5207877462	human
561474634	7	152	0.9559748428	bot
344159343	393	344	0.4667571235	human
357063589	931	12933	0.932847663	human
2949963189	480	338	0.413202934	bot
8.26E+17	562	330	0.369955157	bot
989081978	299	276	0.48	bot
3028624132	510	279	0.3536121673	bot
2982479962	206	195	0.4862842893	bot
2982464944	208	203	0.4939172749	bot
262893816	641	767	0.5447443182	human
2998582175	751	373	0.3318505338	bot
7.81E+17	120	53	0.3063583815	human
2982573165	46	150	0.7653061224	bot
2365823596	419	569	0.5759109312	human
2806416940	25	103	0.8046875	bot
280175586	2129	14883	0.8748530449	human
96738439	3755	17164	0.8204981118	human
2267806358	3423	12475	0.7846898981	human
3337054126	256	1390	0.8444714459	human
8.25E+17	134	123	0.4785992218	bot
3873877475	47	21	0.3088235294	human
422025735	464	146	0.2393442623	human
500980523	733	374	0.3378500452	human
17880873	718	447	0.3836909871	human
8.32E+17	251	188	0.4282460137	bot
7.27E+17	156	131	0.456445993	human
1028654280	275	105	0.2763157895	human
9.62E+17	66	34	0.34	bot
3022357312	278	218	0.439516129	bot
8.16E+17	139	40	0.2234636872	bot
1226915408	721	405	0.3596802842	bot
2754471474	507	366	0.4192439863	bot
8.33E+17	455	233	0.3386627907	bot
8.26E+17	555	384	0.4089456869	bot
601660948	341	1195	0.7779947917	human
2950711839	851	407	0.3235294118	bot
2919407973	771	435	0.3606965174	bot
1086915288	11	58	0.8405797101	bot
526391347	422	525	0.5543822598	bot
8.25E+17	755	338	0.3092406221	bot
2452764372	370	177	0.323583181	human
606575726	452	48	0.096	human
9.80E+17	157	106	0.4030418251	human
4798069173	812	414	0.3376835237	bot
7.97E+17	194	360	0.6498194946	bot
8.26E+17	340	212	0.384057971	bot
7.85E+17	164	154	0.4842767296	bot
2984510759	189	240	0.5594405594	bot
160179878	2465	487	0.1649728997	human
3020402578	202	269	0.5711252654	bot
242327193	1541	1568	0.5043422322	human
431089246	2956	2706	0.4779229954	human
2336493886	761	877	0.5354090354	human
1428293736	489	614	0.5566636446	human
4046597542	4964	1826	0.2689248895	human
3245545312	530	305	0.3652694611	bot
1.01E+18	89	25	0.2192982456	bot
460216069	1413	592	0.2952618454	human
7.27E+17	182	86	0.3208955224	bot
3021446434	567	310	0.3534777651	bot
4358227817	121	30	0.1986754967	bot
2920280901	179	274	0.6048565121	bot
1446141966	1401	4809	0.7743961353	human
2306559009	279	303	0.5206185567	human
633548507	1603	820	0.338423442	bot
2732253563	561	446	0.4428997021	human
205354640	1461	1077	0.4243498818	human
2983904932	346	262	0.4309210526	bot
2982567281	88	200	0.6944444444	bot
3042187528	824	461	0.3587548638	bot
3228649563	1837	647	0.2604669887	human
4782660614	856	6480	0.8833151581	human
438476133	1016	670	0.3973902728	human
363938347	373	437	0.5395061728	human
2951285517	531	313	0.3708530806	bot
1.01E+18	78	419	0.8430583501	human
7.05E+17	77	2197	0.9661389622	bot
9.66E+17	459	388	0.4580873672	human
3027927352	1061	488	0.3150419626	bot
2984400682	93	173	0.6503759398	bot
422699535	142	236	0.6243386243	bot
9.23E+17	351	293	0.4549689441	human
8.32E+17	300	149	0.3318485523	bot
363954532	286	216	0.4302788845	human
3173307514	101	45	0.3082191781	human
251194177	1088	2132	0.6621118012	bot
1056095060	1804	2687	0.5983077266	human
1.00E+18	132	31	0.1901840491	human
1034383638	680	461	0.4040315513	human
470253363	1362	1035	0.4317897372	bot
9.09E+17	1996	5802	0.7440369325	human
8.75E+17	463	307	0.3987012987	human
